definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Weedon_Andrea Bolkvadze_Mariam
Fruhvirtova_Linda Bejlek_Sara
Badosa_Paula Arruabarrena_Lara
Marcinko_Petra Cabrera_Lizette
Wagner_Stephanie Alves_Carolina
Arcangioli_Manon Glushko_Julia
Liauw_Noa Sukhotina_Anastasia
Diyas_Zarina Mansouri_Yasmine
Chavatipon_Charlotte Gatto-Monticone_Giulia
Middendorf_Julia Suarez_Carla
Potapova_Anastasia Markova_Johana
Van_Chanelle Bogdan_Ana
Escauriza_Lara Bucsa_Cristina
Papamichail_Despina Hontama_Mai
Kessler_Mccartney Reyngold_Ekaterina
Gavrila_Oana Kimchi_Shavit
Smitkova_Tereza Bouchard_Eugenie
Trevisan_Martina Sebov_Katherine
Burdina_Evgeniya Yadav_Mihika
Danilina_Anna Chikaraishi_Yui
Lemoine_Quirine MarcinkeviCa_Diana
Liu_Fangzhou Flink_Varvara
You_Xiaodi Hertel_Anna
Arshinkova_Petia Bektas_Emina
Vekic_Donna Fourlis_Jaimee
Barthel_Mona Temin_Marie
Romero_Leyre Al-Nabhani_Fatma
Lazaro_Andrea Bouzkova_Marie
Ghioroaie_Ylona-Georgiana Sanz-Llaneza_Almudena
Dmitrichenko_Yekaterina Fernanda_Maria
Liu_Chang Lindh_Emilie
Siegemund_Laura Graham_Alexa
Udvardy_Panna Manasse_Maegan
Ivakhnenko_Valentyna Lopatetska_Daria
Paoletti_Matilde Bondar_Anna
Ekani_Irys Bains_Naiktha
Sherif_Mayar Hradecka_Lucie
LovriC_Pia Waltert_Simona
Gadecki_Olivia Vanhoutte_Chelsea
Tan_Harmony Ostlund_Fanny
Matusova_Barbora Vukovic_Draginja
Aney_Jessie Guillermo_Lorraine
Gorgodze_Ekaterine Dentoni_Corinna
KuCova_Kristina Zarycka_Anastasia
Pislak_Manca Sharma_Astra
Sleeth_Layne Brito_Fernanda
Broady_Naomi Navarro_Emma
Snigur_Daria Dolehide_Caroline
Drahota_Dorka Harrison_Catherine
Dinu_Cristina Pavlyuchenkova_Anastasia
Bartunkova_Nikola Defalco_Jenna
Marfutina_Maria Komardina_Anastasiya
Pulchartova_Laetitia Jeong_Sunam
Halbauer_Elizabeth Siniakova_Katerina
Ormaechea_Paula Liu_Claire
Avanesyan_Elina Carter_Hayley
Radwanska_Urszula Monnet_Carole
Chwalinska_Maja Bacsinszky_Timea
Lacasse_Raphaelle Bjorklund_Mirjam
Reasco_Mell Ortenzi_Jazmin
Samsonova_Ludmilla Cheapchandej_Patcharin
Orange_Margaux Falkner_Ziva
Podoroska_Nadia Kanepi_Kaia
Spiteri_Dalila Pliskova_Karolina
Fruhvirtova_Linda Weedon_Andrea
Badosa_Paula Marcinko_Petra
Wagner_Stephanie Arcangioli_Manon
Liauw_Noa Diyas_Zarina
Middendorf_Julia Chavatipon_Charlotte
Potapova_Anastasia Van_Chanelle
Escauriza_Lara Papamichail_Despina
Kessler_Mccartney Gavrila_Oana
Trevisan_Martina Smitkova_Tereza
Danilina_Anna Burdina_Evgeniya
Liu_Fangzhou Lemoine_Quirine
Arshinkova_Petia You_Xiaodi
Vekic_Donna Barthel_Mona
Romero_Leyre Lazaro_Andrea
Dmitrichenko_Yekaterina Ghioroaie_Ylona-Georgiana
Liu_Chang Siegemund_Laura
Ivakhnenko_Valentyna Udvardy_Panna
Paoletti_Matilde Ekani_Irys
Sherif_Mayar LovriC_Pia
Gadecki_Olivia Tan_Harmony
Aney_Jessie Matusova_Barbora
KuCova_Kristina Gorgodze_Ekaterine
Sleeth_Layne Pislak_Manca
Snigur_Daria Broady_Naomi
Drahota_Dorka Dinu_Cristina
Marfutina_Maria Bartunkova_Nikola
Halbauer_Elizabeth Pulchartova_Laetitia
Ormaechea_Paula Avanesyan_Elina
Chwalinska_Maja Radwanska_Urszula
Lacasse_Raphaelle Reasco_Mell
Samsonova_Ludmilla Orange_Margaux
Podoroska_Nadia Spiteri_Dalila
Badosa_Paula Fruhvirtova_Linda
Wagner_Stephanie Liauw_Noa
Middendorf_Julia Potapova_Anastasia
Escauriza_Lara Kessler_Mccartney
Trevisan_Martina Danilina_Anna
Arshinkova_Petia Liu_Fangzhou
Vekic_Donna Romero_Leyre
Dmitrichenko_Yekaterina Liu_Chang
Ivakhnenko_Valentyna Paoletti_Matilde
Gadecki_Olivia Sherif_Mayar
KuCova_Kristina Aney_Jessie
Snigur_Daria Sleeth_Layne
Drahota_Dorka Marfutina_Maria
Ormaechea_Paula Halbauer_Elizabeth
Lacasse_Raphaelle Chwalinska_Maja
Podoroska_Nadia Samsonova_Ludmilla
Badosa_Paula Wagner_Stephanie
Escauriza_Lara Middendorf_Julia
Trevisan_Martina Arshinkova_Petia
Vekic_Donna Dmitrichenko_Yekaterina
Ivakhnenko_Valentyna Gadecki_Olivia
KuCova_Kristina Snigur_Daria
Drahota_Dorka Ormaechea_Paula
Lacasse_Raphaelle Podoroska_Nadia
Escauriza_Lara Badosa_Paula
Trevisan_Martina Vekic_Donna
KuCova_Kristina Ivakhnenko_Valentyna
Lacasse_Raphaelle Drahota_Dorka
Escauriza_Lara Trevisan_Martina
KuCova_Kristina Lacasse_Raphaelle
KuCova_Kristina Escauriza_Lara
enregistrement_tournoi New-York 2019
Siniakova_Katerina Bouzo_Noelia
Han_Na-lae Terziyska_Julia
