definir_nombre_tournois 10
enregistrement_tournoi Londres 2019
Sema_Erika Niemeier_Jule
Ioana_Laura Wildgruber_Anja
Davis_Emma Lu_Jiaxi
Carrillo_Alba Morderger_Tayisiya
Proctor_Lauren Mendez_Seone
Gadient_Nicole Tauson_Clara
Chiesa_Deborah Gauff_Cori
Abe_Hiromi Ambrosio_Silvia
Naito_Yuki Ganz_Fiona
Rushiti_Arlinda Ayukawa_Mana
Gillan_Alice Brouleau_Lou
Zheng_Wushuang Douglas_Ellie
Sonmez_Zeynep Omae_Akiko
Palkina_Ksenia Anshba_Amina
Cheapchandej_Patcharin Renee_Andrea
Piai_Eduarda Nara_Kurumi
Sebov_Katherine Paoletti_Matilde
Rubini_Stefania Pegula_Jessica
Martinez_Carlota Marinkovic_Bojana
Arakawa_Haruna Matsuda_Misaki
Georgeta_Oana Nefedova_Anastasia
Badosa_Paula Sasnovich_Aliaksandra
Luca_Reka Klaffner_Melanie
Bouzas_Jessica Ccuno_Romina
Ozaki_Risa Feng_Shuo
Putintseva_Yulia Rossi_Federica
Vangelova_Ani Kuwata_Hiroko
Zawadzka_Joanna Temin_Marie
Konta_Johanna Watson_Heather
Korpatsch_Tamara Radanovic_Dejana
Montgomery_Robin Vecic_Alexandra
Diyas_Zarina Eala_Alexandra
Bejlek_Sara Zakarlyuk_Marianna
Savinykh_Valeria Minnen_Greet
Lee_Sarah Marti_Sandy
Nguyen_Lucie Bouzo_Noelia
Kalita_Anhelina Stamatova_Julia
Lee_Ya-Hsuan Zanevska_Maryna
Ruffer_Lena Doi_Misaki
Govortsova_Olga Lacasse_Raphaelle
Heisen_Vivian Djakovic_Mihaela
Mateas_Maria Cervino_Celia
Mertens_Elise Pachkaleva_Taisya
Kolodynska_Jana Saigo_Rina
Lukas_Tena Dinu_Cristina
Drummy_Georgia Han_Xinyun
Babel_Oceane Inglis_Maddison
Katic_Vlada Imanishi_Miharu
Kennel_Karin Kerkhove_Lesley
Bogdan_Ana Choi_Ji-hee
Lorenzo_Francesca Curovic_Tamara
Failla_Jessica Werner_Caroline
Hu_Victoria Jebawy_Jasmin
Wickmayer_Yanina Grabher_Julia
Kuzmova_Viktoria Gatto-Monticone_Giulia
Ianchuk_Olga Falconi_Irina
Hogenkamp_Richel Khromacheva_Irina
Pellicano_Helene Camila_Maria
Danilina_Anna Rodriguez_Victoria
Chwalinska_Maja Hibi_Mayo
Ezzat_Yasmin Fahey_Katharine
Sutjiadi_Aldila Kazionova_Ekaterina
Chlpac_Agustina Kajuru_Ange
Kolzer_Romy Plazas_Jessica
Ioana_Laura Sema_Erika
Davis_Emma Carrillo_Alba
Gadient_Nicole Proctor_Lauren
Chiesa_Deborah Abe_Hiromi
Naito_Yuki Rushiti_Arlinda
Gillan_Alice Zheng_Wushuang
Palkina_Ksenia Sonmez_Zeynep
Piai_Eduarda Cheapchandej_Patcharin
Rubini_Stefania Sebov_Katherine
Arakawa_Haruna Martinez_Carlota
Georgeta_Oana Badosa_Paula
Luca_Reka Bouzas_Jessica
Putintseva_Yulia Ozaki_Risa
Zawadzka_Joanna Vangelova_Ani
Korpatsch_Tamara Konta_Johanna
Diyas_Zarina Montgomery_Robin
Bejlek_Sara Savinykh_Valeria
Nguyen_Lucie Lee_Sarah
Lee_Ya-Hsuan Kalita_Anhelina
Ruffer_Lena Govortsova_Olga
Heisen_Vivian Mateas_Maria
Mertens_Elise Kolodynska_Jana
Lukas_Tena Drummy_Georgia
Katic_Vlada Babel_Oceane
Kennel_Karin Bogdan_Ana
Failla_Jessica Lorenzo_Francesca
Wickmayer_Yanina Hu_Victoria
Kuzmova_Viktoria Ianchuk_Olga
Pellicano_Helene Hogenkamp_Richel
Chwalinska_Maja Danilina_Anna
Ezzat_Yasmin Sutjiadi_Aldila
Chlpac_Agustina Kolzer_Romy
Davis_Emma Ioana_Laura
Gadient_Nicole Chiesa_Deborah
Naito_Yuki Gillan_Alice
Piai_Eduarda Palkina_Ksenia
Rubini_Stefania Arakawa_Haruna
